Protein IDs	Majority protein IDs	Gene names	Intensity RPN4_0h_1	Intensity RPN4_0h_2	Intensity RPN4_0h_3	Intensity RPN4_0h_4	Intensity RPN4_2h_1	Intensity RPN4_2h_2	Intensity RPN4_2h_3	Intensity RPN4_2h_4	Intensity RPN4_4h_1	Intensity RPN4_4h_2	Intensity RPN4_4h_3	Intensity RPN4_4h_4	Intensity wt_0h_1	Intensity wt_0h_2	Intensity wt_0h_3	Intensity wt_0h_4	Intensity wt_2h_1	Intensity wt_2h_2	Intensity wt_2h_3	Intensity wt_2h_4	Intensity wt_4h_1	Intensity wt_4h_2	Intensity wt_4h_3	Intensity wt_4h_4	Reverse	Potential contaminant
Q3E7Y4;A0A023PXF5	Q3E7Y4;A0A023PXF5	YBL112C;YHR218W-A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16653000		
A0A023PXH9	A0A023PXH9	YDR149C	0	0	0	0	0	0	0	0	0	0	49290000	0	0	0	0	0	0	0	0	0	0	0	0	0		
A5Z2X5	A5Z2X5	YPR010C-A	933690000	1172900000	876020000	1318800000	983670000	887830000	562620000	1012700000	1052500000	961150000	1049300000	1101300000	829410000	915040000	583100000	926700000	820950000	890880000	883240000	846310000	1409800000	1384200000	1121000000	738960000		
CON__ENSEMBL:ENSBTAP00000038253	CON__ENSEMBL:ENSBTAP00000038253		0	0	0	0	0	0	0	0	79615000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		+
CON__O95678	CON__O95678		39653000	36377000	0	0	51216000	26026000	0	0	44293000	0	0	0	51431000	136930000	0	0	42326000	0	0	0	56112000	37721000	0	0		+
CON__P00761	CON__P00761		16742000000	17097000000	21075000000	16697000000	21073000000	18781000000	17365000000	18849000000	16150000000	17864000000	16170000000	18275000000	17164000000	19047000000	21303000000	18894000000	17994000000	17057000000	21029000000	16495000000	16903000000	19342000000	20142000000	15293000000		+
CON__P01966	CON__P01966		28294000	6962300000	0	0	131160000	7056800000	0	0	0	0	0	5892100000	17875000	0	0	0	0	0	0	0	13469000	0	0	0		+
CON__P02533;CON__Q6IFX2;CON__Q9QWL7;CON__Q61782	CON__P02533;CON__Q6IFX2;CON__Q9QWL7		0	154920000	35001000	293650000	0	0	20272000	58330000	465240000	132080000	73582000	221340000	462830000	175340000	163950000	192740000	52180000	0	150380000	155020000	0	0	15515000	77734000		+
CON__P48668;CON__P04259;CON__P02538	CON__P48668;CON__P04259;CON__P02538		0	56889000	162840000	25390000	0	0	0	0	19717000	0	0	21680000	0	0	0	46249000	0	0	0	0	0	0	0	0		+
CON__P02662	CON__P02662		0	0	0	0	0	0	0	0	0	0	0	0	3643300	0	0	0	0	0	64262000	0	0	0	0	0		+
CON__P02768-1	CON__P02768-1		0	3412800000	0	20338000	0	0	4933300000	0	0	0	0	0	0	0	0	0	0	0	0	0	185100000	4690700000	0	0		+
CON__P02769	CON__P02769		17721000	0	43461000	0	0	0	0	7941200	0	58340000	0	0	0	0	0	0	0	0	0	0	0	0	0	0		+
CON__P04264;CON__H-INV:HIT000016045	CON__P04264		1346900000	12851000000	2492200000	8771800000	1718600000	341900000	1715800000	3055300000	17189000000	6918900000	3833300000	4062200000	28187000000	10667000000	6200200000	4993600000	5059400000	2780500000	1221300000	4844200000	1974500000	1330900000	4702300000	3515800000		+
CON__P08779	CON__P08779		0	0	0	17434000	0	0	0	0	0	0	0	93096000	14168000	12724000	0	15749000	0	20887000	20989000	0	0	0	0	0		+
CON__P13645;CON__P02535-1;CON__Q7Z3Y7	CON__P13645		421760000	10906000000	1112300000	6560000000	679430000	624340000	735420000	3245300000	13939000000	3713100000	3500800000	1963200000	24950000000	4035800000	2988300000	4110700000	2757000000	1090400000	775730000	5028000000	1801600000	799650000	2598000000	2530700000		+
CON__P13647	CON__P13647		0	468090000	26352000	4358700000	285370000	0	40293000	121500000	476080000	48055000	82378000	102440000	843430000	259300000	89078000	331100000	12781000	0	42522000	580390000	20309000	0	84328000	57448000		+
CON__P15636	CON__P15636		20366000000	21475000000	18890000000	12800000000	16526000000	15629000000	17680000000	18150000000	14347000000	17489000000	14851000000	10163000000	25021000000	22753000000	21961000000	19789000000	19863000000	16546000000	16593000000	14025000000	17079000000	21003000000	15596000000	10344000000		+
CON__P19012	CON__P19012		0	0	0	0	0	0	0	0	44198000	0	0	0	0	0	0	13552000	0	0	0	0	46887000	0	0	0		+
CON__P35527;CON__Q99456	CON__P35527		719670000	4980800000	899510000	5174100000	595620000	0	581680000	1500800000	10181000000	2384900000	2544300000	3919500000	15695000000	7529000000	3252100000	2344000000	2306900000	1349000000	312090000	2927700000	1356800000	432370000	2678400000	2896000000		+
CON__P35908;CON__Q6NXH9	CON__P35908		448830000	7027100000	1094200000	5437700000	498060000	251700000	514470000	2935700000	13073000000	3188500000	2559500000	1541500000	22314000000	5463900000	3021100000	3026900000	1921000000	1202100000	193470000	3376300000	1422600000	290360000	2111900000	2643300000		+
CON__Q04695	CON__Q04695		0	27349000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		+
CON__Q29443;CON__Q0IIK2	CON__Q29443;CON__Q0IIK2		0	380930000	0	0	0	0	0	0	0	0	0	0	0	0	0	16832000	0	0	0	0	0	0	0	0		+
CON__Q3TTY5	CON__Q3TTY5		0	0	0	0	32623000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		+
CON__Q5D862	CON__Q5D862		0	17548000	0	0	0	0	0	0	13523000	0	0	0	34276000	0	0	0	0	0	0	0	0	0	0	0		+
CON__Q7RTS7;CON__Q3SY84	CON__Q7RTS7;CON__Q3SY84		0	18839000	0	15390000	0	0	0	0	20845000	0	0	0	32412000	0	0	0	0	14566000	0	0	0	0	0	0		+
CON__Q7Z3Y8	CON__Q7Z3Y8		0	0	0	0	0	0	0	22184000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		+
CON__Q7Z3Z0	CON__Q7Z3Z0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13383000	0	0		+
CON__Q7Z794	CON__Q7Z794		0	0	0	0	0	0	0	0	0	0	0	0	28104000	0	0	0	0	0	0	0	0	0	0	0		+
CON__Q86YZ3	CON__Q86YZ3		0	48046000	0	158760000	0	0	0	0	383910000	60857000	38565000	0	125270000	136390000	29490000	0	0	0	0	0	0	0	0	0		+
CON__Q922U2	CON__Q922U2		0	0	0	0	65955000	0	0	0	67959000	0	0	0	0	0	150650000	0	15740000	0	12112000	0	0	0	0	0		+
D6VTK4	D6VTK4	STE2	208350000	164110000	117120000	127400000	75137000	140510000	62613000	67919000	0	13633000	0	0	481720000	478860000	294400000	195610000	264740000	270220000	143070000	279630000	0	0	0	0		
D6W196	D6W196	SAL1	11474000	20024000	27799000	15766000	32063000	20054000	20524000	34162000	19183000	23177000	35134000	7402200	13898000	39586000	11702000	11143000	23200000	9610600	27811000	20305000	44059000	16983000	15946000	10983000		
O13297	O13297	CET1	352800000	361390000	356970000	213450000	382160000	539530000	343500000	305660000	438370000	537690000	356130000	381160000	302800000	530080000	226210000	236980000	420740000	548220000	342140000	314120000	370530000	631210000	471550000	172040000		
O13329	O13329	FOB1	0	20323000	0	46203000	0	17506000	17282000	0	0	0	0	0	7949400	0	26652000	29324000	0	0	21927000	30550000	12011000	0	18947000	17577000		
O13516	O13516	RPS9A	141870000	173650000	0	87665000	0	358880000	147790000	237180000	76512000	242270000	102550000	163590000	0	118240000	267550000	182470000	25382000	30374000	268640000	196780000	37628000	92925000	112570000	123680000		
O13525	O13525	COQ4	0	0	23476000	13001000	18899000	27153000	12425000	56458000	86765000	57916000	146850000	25734000	13035000	0	0	0	14237000	0	26738000	15737000	41834000	86266000	32203000	95966000		
O13535	O13535	TY1B-H	44306000	149950000	89212000	186920000	67727000	42417000	23844000	30192000	0	0	0	0	18748000	25246000	98143000	21857000	18798000	0	20586000	19272000	0	0	0	0		
O13539	O13539	THP2	472000000	90446000	132940000	76857000	54410000	101680000	65010000	113600000	29117000	39586000	144120000	182680000	626180000	56771000	223820000	42625000	23529000	31338000	73884000	30368000	113380000	134710000	75321000	158560000		
O13541	O13541	YLR280C	23947000	0	0	0	0	0	15429000	0	0	0	0	0	36531000	0	12440000	0	0	0	0	0	0	0	0	0		
O13547	O13547	CCW14	289020000	388020000	375880000	245430000	473230000	704380000	509490000	410350000	602730000	871540000	624210000	512170000	116820000	372880000	229190000	245310000	325030000	553910000	496860000	491160000	582470000	750460000	802970000	861640000		
O13563-2;O13563	O13563-2;O13563	RPN13	621130000	497980000	590150000	711830000	825190000	803660000	670620000	844080000	912840000	676560000	772420000	1086800000	682310000	1121800000	603330000	708160000	1014700000	601310000	986510000	1173900000	1334300000	1436200000	1270000000	960140000		
O13585	O13585		220400000	154540000	127280000	78702000	108460000	377990000	202250000	198430000	229580000	163340000	206370000	323760000	85500000	93396000	153530000	326460000	185190000	149040000	188660000	79351000	240460000	276410000	199950000	329110000		
O14455	O14455	RPL36B	2941200000	3798800000	3865100000	2863800000	3044300000	3028800000	2673900000	3315700000	442690000	552480000	656470000	2214900000	2646100000	1223700000	3677400000	2991600000	3204700000	4255900000	4242900000	4491700000	2185500000	679370000	2420200000	1982500000		
O14467	O14467	MBF1	13513000000	14769000000	17235000000	13737000000	14373000000	16421000000	17147000000	16091000000	10240000000	11896000000	13258000000	11034000000	10112000000	8527200000	10318000000	10081000000	7488700000	9890900000	14062000000	11753000000	10910000000	14609000000	13583000000	8694500000		
O14468	O14468	YOR304C-A	0	0	15023000	22294000	0	0	35266000	14555000	0	0	0	0	0	0	24461000	17934000	0	0	24608000	30646000	0	0	23908000	0		
O43137	O43137	YBR085C-A	3762100000	3924500000	3202000000	3200800000	5834600000	4321600000	2691200000	4946000000	10398000000	9803400000	8913800000	10419000000	968370000	1198800000	704150000	871000000	2029000000	1247800000	2049000000	1659600000	6199400000	4629500000	4563500000	5758400000		
O60200	O60200	MDM35	213520000	282600000	192690000	328020000	324350000	289130000	230270000	239360000	256390000	202210000	256240000	380190000	153460000	138930000	83597000	99477000	68499000	148690000	176900000	395620000	226320000	98319000	49634000	224180000		
P0CX58;P0CX57;O74302;Q12470	P0CX58;P0CX57;O74302;Q12470	TY1A-PR1;TY1A-A;TY1A-DR4;TY1A-NL2	685110000	968100000	994350000	733280000	981160000	617550000	900760000	821870000	266190000	196470000	462320000	361430000	312820000	503120000	460500000	513570000	420520000	253550000	511530000	515830000	259130000	193700000	338060000	296380000		
O74700	O74700	TIM9	3033000000	3884600000	3454400000	2760400000	3426300000	3254000000	2827300000	2380200000	2087900000	2983300000	1954700000	2500400000	2933900000	2802200000	2024200000	1585600000	2284900000	2230200000	2013400000	1773700000	2175900000	1695000000	2026500000	2521300000		
O75012	O75012	MRP10	36138000	86609000	47432000	93915000	71209000	82300000	0	66687000	0	26319000	84354000	0	0	43348000	0	62513000	0	0	86658000	0	48547000	0	85772000	0		
O94742	O94742	SEM1	122890000	100770000	109970000	125650000	120770000	119210000	147190000	227550000	100660000	154910000	121040000	127030000	154430000	169690000	265830000	263410000	190070000	193730000	217080000	279360000	146170000	123560000	138810000	143700000		
P00044	P00044	CYC1	1349700000	2265600000	1623900000	1105900000	1935800000	2075400000	1115100000	1449200000	1553800000	1916400000	1028100000	1188800000	1859000000	2805000000	2091300000	1591200000	1502000000	2702600000	3117900000	2321700000	2328000000	3169100000	2449400000	2529000000		
P00045	P00045	CYC7	54458000	25261000	0	0	207950000	165280000	0	35180000	100840000	64186000	231490000	89169000	0	0	0	0	0	0	0	0	21234000	0	86360000	86366000		
P00127	P00127	QCR6	877140000	2008700000	856930000	2852500000	1192300000	791370000	995780000	2111500000	1464700000	1385700000	1759400000	2317200000	595520000	1701600000	708470000	915540000	762270000	817980000	1026700000	2336400000	2086100000	1513100000	811050000	1862100000		
P00128	P00128	QCR7	1899100000	2513600000	1756700000	3056000000	797170000	1631700000	1857100000	3281100000	2055600000	1631800000	4077200000	4339500000	1716000000	1371600000	1136900000	2175400000	2457200000	938170000	1481300000	3226700000	3233300000	3052600000	2235300000	3238700000		
P00175	P00175	CYB2	42746000	66290000	49319000	34316000	97124000	79618000	86460000	99254000	661360000	228620000	399740000	455760000	0	13524000	20851000	11909000	18771000	14081000	67626000	21042000	512330000	211850000	303490000	554600000		
P00330	P00330	ADH1	267180000000	312410000000	285390000000	251350000000	304370000000	292040000000	297080000000	303850000000	243550000000	239220000000	252510000000	256490000000	252130000000	270410000000	259080000000	251220000000	251130000000	267800000000	278280000000	282730000000	267220000000	278050000000	237640000000	243750000000		
P00331	P00331	ADH2	48168000	34877000	25960000	110730000	22388000	0	0	0	0	0	95505000	116390000	42651000	16378000	0	0	13631000	0	18839000	0	76688000	18555000	18267000	0		
P00358	P00358	TDH2	35739000000	44435000000	38427000000	47045000000	45671000000	40842000000	42567000000	60701000000	43327000000	39546000000	72400000000	71689000000	25712000000	35320000000	39443000000	31528000000	30160000000	35016000000	56664000000	51187000000	49239000000	68733000000	53626000000	65285000000		
P00359	P00359	TDH3	714160000000	933360000000	747860000000	747280000000	868320000000	961590000000	745700000000	810880000000	791420000000	786720000000	830770000000	842080000000	622730000000	791470000000	784530000000	757290000000	660990000000	796790000000	835570000000	735450000000	792330000000	829250000000	746020000000	771640000000		
P00360	P00360	TDH1	1366300000	1307400000	1276100000	1112900000	2868100000	2505300000	2310300000	2377800000	8354100000	10876000000	19354000000	14248000000	134600000	87966000	200470000	186480000	206010000	97806000	351120000	415040000	6470600000	4399700000	5682300000	9852500000		
P00401	P00401	COX1	259090000	505910000	441530000	317440000	390100000	432400000	333100000	376270000	462740000	455940000	518210000	463020000	257190000	320010000	215830000	200330000	304530000	342240000	316270000	282010000	674310000	718010000	708930000	477750000		
P00410	P00410	COX2	2279800000	3105400000	2328400000	1746700000	2572000000	1999200000	2358800000	2777700000	2899700000	2449200000	3505200000	5177700000	2200600000	2201300000	1278300000	2141900000	2015000000	2361800000	2614600000	2785100000	4589100000	4108300000	2684000000	4408700000		
P00424	P00424	COX5A	1148600000	1715700000	1138600000	1337500000	1308500000	1269700000	1185700000	1506700000	978680000	1015300000	1491300000	1582700000	1155900000	1058900000	902660000	939990000	927650000	843350000	1181100000	1031300000	1306100000	1868200000	1406000000	1404000000		
P00425	P00425	COX5B	28985000	52458000	0	37349000	58448000	7739900	74961000	16598000	130240000	93612000	34909000	42052000	0	0	38913000	58933000	0	0	57016000	44776000	63910000	91754000	53063000	119670000		
P00427	P00427	COX6	1777400000	3267400000	2330500000	2009000000	2580500000	2901300000	2528800000	3086500000	2711400000	2674600000	2999800000	2442300000	1656100000	2607500000	1896700000	1802500000	1656800000	2071400000	2667700000	2232400000	2062700000	3170600000	3019800000	2693700000		
P00431	P00431	CCP1	1944500000	2040400000	2105000000	1525200000	2772000000	2794400000	2428400000	2290000000	6198600000	4521700000	5496100000	5368700000	1332200000	1595100000	1741200000	1159800000	1494600000	1694800000	1859800000	1940200000	5928500000	6492800000	5860800000	6989800000		
P00445	P00445	SOD1	34660000000	49093000000	41957000000	42553000000	42178000000	45975000000	36458000000	39591000000	36312000000	37427000000	30259000000	41515000000	41604000000	44590000000	42027000000	40040000000	39072000000	44710000000	47664000000	51747000000	26727000000	34032000000	28959000000	33282000000		
P00447	P00447	SOD2	1809800000	2525800000	1402300000	2343800000	1948500000	1739400000	2190000000	3138000000	3290500000	2359100000	3743600000	5230000000	1423300000	1733100000	1209100000	2043600000	1437300000	1580000000	2437300000	2334000000	4541400000	3698000000	2007000000	5254600000		
P00498	P00498	HIS1	8591500000	11021000000	8824900000	8259500000	10643000000	8043600000	8861400000	11332000000	5819000000	5235600000	6701600000	7023600000	11585000000	14209000000	12344000000	10438000000	8581800000	8898900000	8884400000	10616000000	6934100000	6869200000	5433600000	6054300000		
P00546	P00546	CDC28	1432800000	1802100000	1540700000	1225300000	1713200000	1634100000	1414600000	1621200000	1663800000	1810700000	1614700000	1973800000	1073000000	1190200000	1167600000	1105700000	1123900000	1215600000	1440300000	1112700000	1793800000	2138200000	1840500000	2044700000		
P00549	P00549	CDC19	356750000000	463690000000	406880000000	362080000000	423970000000	441910000000	403780000000	451730000000	425170000000	421940000000	423430000000	432020000000	379880000000	432880000000	358540000000	370570000000	391640000000	429770000000	420430000000	472410000000	463660000000	499920000000	446450000000	422490000000		
P00560	P00560	PGK1	332080000000	426710000000	371540000000	375110000000	383900000000	436170000000	399390000000	435590000000	354900000000	387810000000	409520000000	410860000000	312680000000	315200000000	291140000000	284920000000	305410000000	326170000000	352690000000	357980000000	398860000000	416640000000	374320000000	385090000000		
P00572	P00572	CDC8	158430000	125670000	131200000	97307000	80690000	120590000	85170000	100210000	123920000	94693000	121110000	108110000	103290000	120810000	69599000	131400000	79257000	126630000	120400000	124110000	148740000	155520000	118110000	142630000		
P00635	P00635	PHO5	41411000	31938000	13169000	7968300	21229000	11752000	0	12893000	0	0	21176000	0	0	0	0	0	0	0	0	0	0	0	0	0		
P00724-2;P00724	P00724-2;P00724	SUC2	85903000	135350000	107500000	44435000	51747000	84156000	0	37382000	141570000	56389000	117900000	48792000	92667000	26506000	97895000	46532000	75083000	30327000	25238000	111370000	68381000	27913000	42114000	34433000		
P00729	P00729	PRC1	1233500000	1746400000	1205500000	1757300000	3170900000	2139800000	2577800000	2832000000	5104300000	6107600000	7056900000	7501700000	1138000000	1619000000	966660000	1530900000	1551600000	1826500000	2752800000	3506700000	9086300000	7885300000	6221100000	7752200000		
P00812	P00812	CAR1	6011000000	7538200000	4307900000	4154700000	5921700000	4225300000	4748400000	6399100000	4518000000	3811800000	5592500000	6035800000	2982700000	4570000000	2560900000	3355800000	2193600000	3469300000	2640700000	4349100000	3358700000	4502700000	3082700000	3827600000		
P00815	P00815	HIS4	12117000000	16262000000	13306000000	12807000000	12527000000	12108000000	12730000000	14039000000	9741600000	8745000000	10846000000	11860000000	14806000000	15104000000	15680000000	13953000000	11546000000	12334000000	12771000000	16054000000	8455300000	8323600000	5888600000	8668100000		
P00817	P00817	IPP1	32456000000	34729000000	37063000000	34659000000	41091000000	39677000000	33445000000	39038000000	37520000000	34820000000	35275000000	34577000000	35016000000	39508000000	39305000000	34837000000	36438000000	36645000000	42730000000	43899000000	33014000000	33215000000	37038000000	37423000000		
P00830	P00830	ATP2	41431000000	51637000000	37592000000	41342000000	47280000000	47717000000	36916000000	50550000000	46425000000	48441000000	54652000000	55369000000	41036000000	43119000000	37339000000	35112000000	37679000000	37861000000	41193000000	43128000000	54246000000	56386000000	51593000000	54481000000		
P00854	P00854	ATP6	0	0	11235000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15645000	18785000	11621000	98411000		
P00890	P00890	CIT1	6023000000	9537000000	6101500000	6230200000	6994000000	7772900000	6606700000	6921300000	8086200000	7127900000	9195400000	7347300000	3397700000	3707500000	3591100000	3124500000	2904400000	3918200000	4096700000	3813400000	7524400000	8451900000	7583600000	6960900000		
P00899	P00899	TRP2	4293700000	4568800000	3911800000	4671100000	4885000000	4713900000	4749300000	4738200000	2978900000	2971900000	3916600000	4331600000	4678900000	4767200000	4851800000	4657600000	4550900000	4932000000	5134100000	5803800000	3174200000	4031600000	3992000000	4498100000		
P00924	P00924	ENO1	39297000000	45076000000	34579000000	29247000000	54047000000	56234000000	41300000000	37042000000	85857000000	74133000000	77169000000	82483000000	15958000000	10203000000	14787000000	14789000000	16451000000	13728000000	18180000000	19536000000	84873000000	78475000000	69326000000	78316000000		
P00925	P00925	ENO2	589610000000	694770000000	634650000000	598390000000	686050000000	702120000000	651030000000	704950000000	647200000000	663010000000	668810000000	697130000000	576830000000	631940000000	587920000000	557710000000	613690000000	612590000000	649470000000	682010000000	739180000000	810460000000	684490000000	709300000000		
P00927	P00927	ILV1	6039400000	7155900000	6763300000	6774100000	6912300000	5184900000	6042900000	8072200000	5559700000	4307100000	6246500000	7372600000	8109600000	7888500000	7404500000	8575400000	7213500000	8124900000	8249300000	9382100000	7420100000	6933100000	6821400000	6677300000		
P00931	P00931	TRP5	16635000000	19194000000	15624000000	16699000000	17564000000	15829000000	15801000000	18212000000	16211000000	14532000000	17357000000	17783000000	15724000000	16254000000	14861000000	15035000000	16814000000	16612000000	17554000000	19700000000	18084000000	19699000000	15838000000	18049000000		
P00937	P00937	TRP3	4661100000	6845400000	6572300000	6324900000	5715300000	5963800000	6515500000	6261700000	4532300000	4140500000	5381500000	7398000000	4955600000	5398100000	4243100000	3255100000	4001200000	4578000000	4482900000	6581700000	3961500000	4470100000	3926700000	4358300000		
P00942	P00942	TPI1	73991000000	124600000000	80916000000	104680000000	96874000000	86190000000	109720000000	107320000000	100100000000	88299000000	113780000000	103660000000	90737000000	95333000000	88536000000	93833000000	92011000000	99703000000	106120000000	121960000000	116590000000	110990000000	91225000000	98039000000		
P00950	P00950	GPM1	171090000000	184630000000	147740000000	170110000000	170600000000	177700000000	165700000000	180110000000	171990000000	158900000000	184110000000	169700000000	138800000000	128620000000	155020000000	152540000000	141000000000	143220000000	169380000000	178290000000	153510000000	167250000000	163630000000	152290000000		
P00958	P00958	MES1	11826000000	12985000000	12453000000	13415000000	11924000000	10956000000	9629900000	10889000000	8135800000	7791200000	8241800000	11229000000	17241000000	16224000000	11133000000	13422000000	11903000000	14347000000	11332000000	17108000000	11374000000	11674000000	7633300000	10180000000		
P01094	P01094	PAI3	32929000	29830000	24166000	0	58626000	37597000	23048000	47554000	266780000	294830000	128290000	292450000	0	9705500	0	0	8546800	12707000	12476000	0	127940000	296680000	298020000	366920000		
P01097	P01097	INH1	1288000000	1390000000	1179500000	932370000	1503500000	1825400000	1113300000	1889400000	2034700000	2638000000	2002300000	2272200000	942260000	893020000	699970000	665270000	773450000	769450000	807750000	661690000	2747800000	2150100000	1535300000	1664200000		
P01098	P01098	STF1	516170000	407170000	375800000	214070000	562750000	615590000	493480000	0	1269700000	1252200000	1073700000	1232600000	109210000	0	0	0	213380000	204050000	0	192450000	1120100000	1223200000	1170900000	957260000		
P01119	P01119	RAS1	261160000	191590000	301230000	337640000	297680000	247440000	135490000	264990000	132250000	121730000	35730000	71767000	870850000	842940000	686430000	752470000	561400000	280080000	794250000	578660000	184440000	195620000	142850000	208430000		
P01120	P01120	RAS2	3682000000	3653700000	3404300000	3437900000	4409400000	3779500000	3709100000	3212200000	4754200000	4015700000	5486400000	6008300000	3074900000	3096900000	2354100000	2840100000	3040000000	2921800000	3377000000	3509500000	6970700000	4792600000	4740600000	5113800000		
P01123	P01123	YPT1	4932500000	6825600000	4884400000	4337700000	5885900000	5619400000	5545300000	6509700000	5378300000	7085200000	7859800000	8221700000	4014700000	3511200000	4361300000	3837200000	3909400000	3465000000	4844200000	6195300000	7207800000	6765800000	5732200000	5880500000		
P02294;P02293	P02294;P02293	HTB2;HTB1	22499000000	29628000000	28224000000	18586000000	22061000000	20915000000	20084000000	25499000000	11835000000	14437000000	20019000000	19068000000	29545000000	33334000000	25353000000	35387000000	19986000000	22551000000	37684000000	26410000000	15544000000	19201000000	16936000000	21401000000		
P02309	P02309	HHF1	14371000000	16801000000	8338600000	12677000000	8289100000	13089000000	14353000000	15871000000	7865800000	9681100000	12665000000	13960000000	19814000000	13756000000	16687000000	15901000000	15893000000	11015000000	17608000000	19574000000	16076000000	13757000000	10421000000	13470000000		
P02381	P02381	VAR1	304210000	276310000	377150000	422280000	312390000	264170000	375070000	484810000	197410000	217810000	397550000	352040000	204810000	355730000	253160000	331610000	263990000	414090000	419250000	502280000	328330000	316400000	487860000	382040000		
P02400	P02400	RPP2B	20441000000	38598000000	34988000000	41086000000	35718000000	29596000000	34165000000	41903000000	15155000000	23047000000	25162000000	31173000000	48929000000	53328000000	51478000000	46828000000	46140000000	49763000000	49721000000	48017000000	33514000000	30687000000	27532000000	29781000000		
P02406	P02406	RPL28	17706000000	22878000000	22149000000	21345000000	20220000000	15753000000	19689000000	23012000000	10647000000	9406500000	17927000000	10557000000	28414000000	29369000000	21188000000	22035000000	24858000000	28234000000	27370000000	31216000000	25406000000	18700000000	16104000000	13050000000		
P14127;P02407	P14127;P02407	RPS17B;RPS17A	32780000000	45199000000	41500000000	35679000000	42615000000	29217000000	40345000000	43662000000	24584000000	26165000000	26930000000	25534000000	45238000000	52720000000	54837000000	52954000000	49851000000	55007000000	65498000000	59539000000	28278000000	36781000000	31759000000	27889000000		
P02557	P02557	TUB2	8702400000	10320000000	7749500000	8376400000	12412000000	7437200000	9404500000	10121000000	9168500000	9244200000	7071500000	9670400000	6295000000	8652900000	6961900000	6072900000	7817100000	8343500000	6910500000	8259100000	8160700000	11959000000	7315200000	8841000000		
P02829	P02829	HSP82	18294000000	28319000000	17181000000	15319000000	15119000000	23508000000	20617000000	22874000000	17274000000	14591000000	14518000000	19517000000	4649700000	5473100000	5362000000	5754400000	7175400000	8311700000	9653600000	7758900000	13163000000	13312000000	10389000000	12987000000		
P02992	P02992	TUF1	8621000000	10802000000	8484900000	8926400000	11204000000	9369100000	9008300000	11064000000	6260400000	6249300000	8091700000	8700600000	6946400000	5880400000	5370100000	5160800000	6044500000	7016400000	6262000000	7188200000	5803900000	5863600000	6047600000	4724500000		
P02994	P02994	TEF1	345680000000	427940000000	361420000000	415180000000	378080000000	337930000000	368180000000	421580000000	287780000000	290570000000	361870000000	359440000000	421000000000	441000000000	439850000000	410990000000	362690000000	430990000000	441100000000	520730000000	394670000000	382150000000	317680000000	385380000000		
P03871	P03871	REP1	142080000	47742000	56972000	239520000	149510000	29445000	118760000	120410000	38488000	39100000	201160000	116880000	284720000	110580000	270310000	202290000	275300000	372130000	435960000	557750000	510200000	343200000	250870000	356530000		
P03872	P03872	REP2	29319000	65996000	44241000	91733000	25118000	20223000	45304000	31124000	49477000	10805000	0	30260000	472430000	311000000	131590000	131470000	437020000	133590000	271780000	361510000	149550000	89160000	116710000	101980000		
P03874	P03874	CBP2	65641000	75728000	90966000	62212000	79525000	87725000	63288000	37991000	98788000	73840000	48346000	22374000	82280000	71220000	82305000	51760000	83838000	134690000	96971000	77297000	162240000	116460000	130550000	111660000		
P03875;Q9ZZX1	P03875	aI1	53906000	141720000	57859000	99429000	0	131540000	139420000	99360000	0	67403000	59725000	66426000	82276000	4580200	0	116660000	71913000	43529000	49732000	115720000	170700000	98136000	86089000	76985000		
P03962	P03962	URA3	4344200000	4722600000	3704200000	5064000000	4052300000	3055600000	3813700000	4662700000	3360900000	2791000000	3244600000	4556700000	6184300000	6610000000	6393500000	5665700000	3675900000	3325200000	5515300000	6482100000	2845300000	3569900000	2255400000	3312300000		
P03965	P03965	CPA2	31044000000	45885000000	30482000000	36797000000	36104000000	39763000000	32386000000	41075000000	32976000000	34000000000	28519000000	29732000000	32754000000	41063000000	32719000000	27264000000	33132000000	36933000000	38752000000	36743000000	26828000000	32058000000	29777000000	20683000000		
P04037	P04037	COX4	3283500000	5101900000	3585800000	4249900000	4156900000	4779000000	4120400000	5451200000	3897600000	4905200000	5081000000	6905300000	2921800000	3112800000	3320900000	3062100000	3122600000	3152600000	4006100000	4725500000	4752600000	4900800000	3950400000	5337600000		
P04039	P04039	COX8	0	438700000	517640000	391560000	359570000	358640000	481400000	566300000	356310000	339070000	593070000	0	216760000	344520000	326760000	256100000	191810000	361150000	324780000	400170000	512670000	679960000	478320000	493340000		
P04046	P04046	ADE4	1929100000	2509000000	2256000000	2611000000	2516800000	2676100000	2488800000	2436600000	1674700000	1909300000	1913900000	2109100000	2168900000	2387800000	2624700000	2200500000	2041800000	2314000000	2609900000	3030800000	1391500000	1685600000	1312000000	1481100000		
